12.4,-3.1,8.8,0.5,-14.2,6.7,21.0,-9.6
-7.5,18.2,-1.3,11.9,4.4,-20.5,3.7,15.1
22.8,5.6,-13.7,-8.4,19.2,0.1,-6.9,10.5
-18.1,-4.7,25.3,7.2,-2.6,14.8,-11.5,1.9
3.2,-22.6,6.5,17.7,-9.3,24.1,0.8,-15.4
-10.9,13.5,-24.4,2.6,8.1,-5.7,19.9,6.3
16.6,-1.8,4.2,-21.7,12.0,9.4,-3.5,23.6
-2.4,26.1,-7.8,5.5,-18.9,11.2,14.4,-0.6
9.7,-16.3,20.5,-4.1,2.9,-12.7,7.6,18.8
-23.2,8.9,1.4,14.6,-6.2,3.3,-19.5,11.7
5.9,21.3,-10.1,-2.8,16.5,-7.4,24.9,-13.2
-15.8,0.7,13.9,-18.4,6.1,22.2,-4.9,8.6
19.4,-9.9,3.6,25.7,-11.8,1.2,15.5,-5.3
-6.7,14.1,-21.5,9.8,0.4,-17.6,5.2,27.0
24.3,-12.5,7.1,-6.0,18.6,4.9,-22.1,2.3
1.5,-19.7,11.4,3.8,-25.6,16.2,9.0,-7.9
-13.4,6.8,22.7,-10.6,5.7,-1.1,20.3,-16.9
8.3,17.9,-5.5,12.8,-3.7,26.4,-14.0,0.2
-21.0,2.5,9.6,-23.8,13.1,-6.4,4.7,18.5
14.9,-7.2,-16.6,21.8,-0.9,10.3,-25.1,6.6
-4.5,23.4,15.2,-1.7,-20.8,7.9,12.6,-11.0
27.5,-14.6,0.9,8.2,3.5,-19.1,16.8,-6.8
-9.1,5.0,-26.3,19.7,-8.6,2.4,22.0,13.3
11.1,-24.8,18.0,-12.2,7.3,15.7,-0.4,4.6
-17.3,10.8,2.2,24.5,-15.0,6.9,-7.1,21.6
6.4,-2.9,28.1,-16.1,10.7,-23.0,1.6,12.2
-25.4,16.7,-8.0,4.0,22.5,-11.3,9.2,-3.8
18.7,1.1,-19.9,13.6,-4.2,27.3,-12.9,5.8
-1.2,-13.8,6.0,-27.7,20.1,8.5,14.7,-9.4
23.1,9.5,-3.4,16.0,-22.9,0.6,-18.2,7.7
-12.6,25.9,4.8,-5.9,11.6,-15.5,2.0,19.3
7.4,-10.4,21.1,1.3,-6.6,18.4,-24.2,13.0
-19.6,3.9,-11.7,22.4,14.3,-2.1,8.0,-26.8
15.8,-21.9,5.4,-14.5,0.0,23.7,-6.1,10.9
-3.3,12.7,-20.2,6.2,25.0,-8.8,17.1,-1.5
20.7,4.5,10.2,-9.7,-13.0,5.1,-27.4,16.3
-8.2,-25.7,14.5,18.9,-1.9,11.5,3.1,-12.0
13.7,7.8,-6.5,26.6,-18.7,-4.3,9.9,2.8
-22.3,15.4,1.0,-7.6,17.8,-26.0,5.6,12.5
4.1,-6.9,23.9,-20.6,8.7,13.4,-10.8,19.0
